date,from,subject,amount,currency,attachments,drive_urls,msg_id
2026-01-08,"""service-jp@paypal.com"" <service-jp@paypal.com>","XMIND LTD様から￥90,000 JPYのお支払いがありました",86270,JPY,,,19ba1b2d945449ba
2026-01-07,"""service-jp@paypal.com"" <service-jp@paypal.com>",この信頼できる端末のログイン状態を維持する ,,,,,19b9c6998635f652
2026-01-08,Canva <no-reply@account.canva.com>,Canvaよりご請求内容のお知らせ,8300,JPY,,,19b9af14cf84be06
2026-01-08,"""市岡直人"" <jiuhuot10@gmail.com>",Re: 11月　Readdy AI動画作成(175-202511-01-006)ainote150000【重要】請求書発行に関するご案内,70000,JPY,,,19b99cb9b6c9e2da
2026-01-07,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,29,JPY,,,19b97f09ceb649ed
2026-01-07,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,227,JPY,,,19b978689de0954d
2026-01-07,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,199,JPY,,,19b978662fdbdb59
2026-01-07,"""西日本シティ銀行"" <info01900007@webcenter.anser.or.jp>",【西日本シティ銀行】振込依頼処理完了のお知らせ,35,JPY,,,19b97866295613ab
2026-01-07,"""市岡直人"" <jiuhuot10@gmail.com>",Re: バーチャルオフィスプランご請求のご案内【バーチャルオフィス スタートアップ】,12100,JPY,,,19b9747541cb0fdd
2026-01-07,studio veco <invoice+statements+acct_1MnjcQG207ugzMIr@stripe.com>,studio veco からの領収書 (領収書番号 2600-0795),5000,JPY,"Invoice-EYTSOGYB-0002.pdf, Receipt-2600-0795.pdf","https://drive.google.com/file/d/10Ul6gbkKyEHtzJQefVDNEl7SRGu7ugME/view?usp=drivesdk
https://drive.google.com/file/d/1CrFBhkYDf7UbphWZq8GtHC1cxkRODwTn/view?usp=drivesdk",19b96aa5825694dd
2026-01-05,Stripe <notifications@stripe.com>,ClimbBeyonの適格請求書のお知らせ,,,,,19b8edb77b798e2d
2026-01-05,"""freeeサイン事務局"" <notice@ninja-sign.com>",株式会社LEC 本田直久 様から送信されたマーケティング講座契約書の署名・合意をしました,,,,,19b8b9da2db1a193
2026-01-04,X <invoice+statements+acct_1Ika5JA3KZ32dPo1@stripe.com>,Your receipt from X #2675-8080-6924,918,JPY,"Invoice-ZKMCF8WO-0007.pdf, Receipt-2675-8080-6924.pdf","https://drive.google.com/file/d/1JfEvGsbK4i4e9zF3kGfw_eqmXw9LhVgQ/view?usp=drivesdk
https://drive.google.com/file/d/1GVCGHMO87UVOuhJ3Ob9aXvadxKhPc80B/view?usp=drivesdk",19b86f72589c193b
2026-01-02,"""service-jp@paypal.com"" <service-jp@paypal.com>",銀行口座を登録しました,,,,,19b7dc065d2a420c
2026-01-01,X <invoice+statements+acct_1Ika5JA3KZ32dPo1@stripe.com>,Your receipt from X #2320-4152-4342,918,JPY,"Invoice-8ANKTV9U-0002.pdf, Receipt-2320-4152-4342.pdf","https://drive.google.com/file/d/1R8yE79nCldaIu9oSaWJ0eyRO5Xd5aJAL/view?usp=drivesdk
https://drive.google.com/file/d/1_v0Lf9AMDqp02Cfo6w6j99Kw6HPHHX5s/view?usp=drivesdk",19b7854f1e815408
